,University Name,Course Name,Description,Degree,Internship,Accreditation,URL,Last Update
0,Adelphi University,Associate of Science in Emergency Services Administration (Online),"The program is for students who want a liberal arts-based degree that will also prepare them for a career in the growing field of emergency services. This option allows students to quickly achieve a credential that can benefit their career while preparing themselves for a future bachelor's degree program. Students can receive up to 30 credits in prior learning, including credit for their academy training, making it possible to complete this emergency services degree program in two semesters.

This program is available entirely online or it can be completed by taking a mixture of online and live-instruction courses.

Additional Information: https://online.adelphi.edu/undergraduate-degrees/as-emergency-services/",Associate Level,No,New York State Education Department and the Middle States Commission on Higher Education,http://www.adelphi.edu/,6/8/2020
1,Adelphi University,Bachelor of Science in Emergency Services Administration (Online),"Adelphi University offers a Bachelor of Science in Emergency Services Administration. The program is for students who want a liberal arts-based degree that will also prepare them for a career in the growing field of emergency services.

This program is available entirely online or can be completed by taking a mixture of online and live-instruction courses.

Candidates for this degree must have completed at least 120 credits, 30 of which must be taken in graded course work at the University. In all cases, candidates must have a minimum cumulative grade-point average of 2.5.

Additional Information: https://online.adelphi.edu/undergraduate-degrees/bs-emergency-services/",Bachelor Degree,No,New York State Education Department and the Middle States Commission on Higher Education,http://www.adelphi.edu/,5/5/2020
2,Adelphi University,Graduate Certificate in Emergency Management (Online),"Adelphi University is offers an online 18-credit interdisciplinary Graduate Certificate in Emergency Management for those students who have earned a bachelor's degree and wish to explore this academic field. The certificate curriculum was designed to expose students to the essential elements of graduate emergency management, so that they may enhance their knowledge and elevate their career potential. The program of study includes five required emergency management courses and one student-chosen elective. Students who wish to continue their studies upon the completion of their Graduate Certificate may apply their credits toward Adelphi's Master of Science in Emergency Management degree program.

Additional Information: https://www.adelphi.edu/program/graduate/emergency-management/",Masters Level,No,New York State Education Department and the Middle States Commission on Higher Education,http://www.adelphi.edu/,6/8/2020
3,Adelphi University,Master of Science in Emergency Management (Online),"Adelphi's innovative Master of Science in Emergency Management degree consists of a 39 credit program of study that culminates in an emergency management capstone research project and presentation. The degree program has been designed for both new bachelors degree graduates and working professionals with a busy life and career responsibilities. Students may study full time or part time and can complete the program 100% online.

Students complete a 33 credit core curriculum by completing required emergency management courses through the University College and additional coursework at the University's internationally accredited School of Business. Students then choose from one of three elective tracks: Environmental Studies, Health or Government. Students complete their education by developing and implementing a comprehensive Capstone project that represents their first scholarly contribution to the field of emergency management.

Additional Information: https://www.adelphi.edu/program/graduate/emergency-management/",Masters Level,No,New York State Education Department and the Middle States Commission on Higher Education,http://www.adelphi.edu/,5/5/2020
4,American InterContinental University,Bachelor of Science in Criminal Justice w/ Homeland Security and Crisis Mgmt Specialization (Online),"The Bachelor of Science degree in Criminal Justice with a concentration provides students with a broad based education in criminal justice studies. The curriculum is designed to give students a professional education in the criminal justice field, with particular emphases in policing, courts, criminology, corrections, juvenile justice, homeland security and the field of forensic science. The focus is to provide students with an education that will help them master the skills and expertise needed to work in the field of criminal justice.

Examine how our nation is protected from threats both domestic and foreign by studying for an online degree in homeland security. American InterContinental University's bachelor's degree in criminal justice with a homeland security specialization has a strong criminal justice foundation and takes a deep dive into terrorism and crisis management.

All courses are 4.5 credits, unless noted otherwise.

Additional Information: https://www.aiuniv.edu/degrees/criminal-justice/bachelors-homeland-security",Bachelor Degree,No,Higher Learning Commission,https://www.aiuniv.edu/,2/16/2021
5,American InterContinental University,Bachelor of Science in Information Technology w/ a Concen. in Information Assurance and Security,"Information technology leaders know how to conceptualize, implement, and manage high-quality, secure information systems to support the needs of private and public sector entities. The Bachelor of Science in Information Technology (BSIT) degree program is designed to equip students with technical understanding and professional confidence to help them prepare for a successful career in a high-tech field or in any organization that relies on IT. With a dynamic curriculum focused on industry relevant technology, trends, and applications, students can acquire high-quality technical knowledge, hands-on abilities, and key career skills in areas that include critical thinking, time management, effective communication, leadership, technology, and project management. Students have the opportunity to develop knowledge and skills in information technology and can select from one of several industry relevant academic concentrations that reflect emerging trends in the industry.



Students will study how to work with security software, administer security systems and identify potential security threats organizations may face in a variety of real-world situations. The program also addresses issues of physical and operations security. The online cyber security degree program is designed for students looking to pursue career opportunities in the fields of digital security, information collection and preservation, and security-system creation.

Additional Information: https://www.aiuniv.edu/degrees/information-technology/bachelors-information-assurance-and-security",Bachelor Degree,No,Higher Learning Commission,https://www.aiuniv.edu/,6/16/2021
6,American InterContinental University,Master of Science in Information Technology w/ a Spec. in Info. Assurance and Security (Online),"The Master of Science in Information Technology degree with a specialization in Information Assurance and Security is designed for students looking to become leaders in the fields of digital security, information collection and preservation, and security system creation.

This one-year master's program is designed to help students get the in-depth, industry-current business knowledge they want compressing their studies into a shorter timeframe, but still providing the knowledge and credentials they're looking for to get ahead professionally.

In this specialized curriculum, you can learn the skills needed to protect an organization's information assets. The important areas covered include threats and vulnerabilities, cryptography, authentication and access control, security models, network security, trusted computer systems, distributed-systems security, World Wide Web security, applications security, information-systems audit, and security management and policies.

Focus on your specific area of interest:

By studying key topics in Information Assurance and Security to complete the upper division's core specialization requirements, you have an opportunity to focus your studies on an area that is gaining attention from an increasingly security-conscious business community.

A curriculum taught by experienced professionals:

In addition to a quality curriculum based on industry-relevant standards, AIU's BSIT with a specialized focus in Information Assurance and Security is taught by experienced faculty, many who have worked in the fields they teach. This offers you an opportunity to learn from professionals who can share their understanding of the qualities and skills sought in today's competitive marketplace for information assurance and security professionals.

Information Technology is one of the fastest-growing industries in the world today. It is essential in all industries, not just high-tech. As the business world has become increasingly dependent on computers, the demand for IT professionals has grown so rapidly that it now far exceeds the number of university graduates who have the necessary education and skills. The AIU Information Technology program was created in response to that need. The team-based program is one of the few in North America solely dedicated to providing graduates with the industry-current IT skills required in today's competitive market. Our dynamic, flexible curriculum is based on market demand, and designed to keep pace with changing technologies. Additionally, the Master's of Information Technology program combines essential technology skills with business and management skills to enhance students' skills and enable success in the job market.

In this specialized curriculum, you can study the skills needed to protect an organization's information assets. The important areas covered include threats and vulnerabilities, cryptography, authentication and access control, security models, network security, trusted computer systems, distributed-systems security, World Wide Web security, applications security, information-systems audit, and security management and policies.

Additional Information: https://www.aiuniv.edu/degrees/information-technology/masters-information-assurance-and-security",Masters Level,No,Higher Learning Commission,https://www.aiuniv.edu/,2/16/2021
7,American Public University,Associate of Science in Public Health (Online),"The Associate of Science in Public Health degree offers introductory courses in sociology, psychology, health, and wellness while looking at the American healthcare system. This online associate degree offers a focus on interpersonal communication, leadership, and motivation to help prepare you for entry-level careers in community healthcare or occupational health and safety settings.

The university also offers a bachelor's in public health that can either be a logical next step after earning the associate or may be considered instead of the associate. We recommend you speak with an admission representative to discuss the appropriate starting level to meet your educational goals.

In addition to the institutional and degree level learning objectives, graduates of this program are expected to achieve these learning outcomes:

-Explain how and why they are a part of a global community and how the health of one nation or community affects the planet as a whole.

-Explain why the profession of public health is dynamic, political, and controversial. To face health issues, a professional must define the public as diverse with many views, beliefs, values and concerns.

-Possess the training and competence in the use of technologies to deliver health care services to their communities.

-Choose and use the appropriate policies, educational programs, and incentives to develop and maintain individual and community lifestyles that promote optimal health.

-Develop a continuum of supportive public health services appropriate for their community.

-Resolve conflicts over public health and health care issues.

-Ensure that the findings of current public health research are communicated to their communities in an appropriate manner.

-Assure communities of the right to receive sufficient information from suppliers of health care technologies, health care providers, and relevant governmental agencies.

-Explain and assist in the development of a safe community environment.

-Maintain involvement with their communities to assure appropriate education regarding public health matters.

-Maintain the utmost ethical standards in their personal and professional conduct.

All literature courses require successful completion of ENGL101 - Proficiency in Writing or ENGL110 - Making Writing Relevant.

*Must take this course.

Additional Information: https://www.apu.apus.edu/academic/schools/health-sciences/associate/public-health.html

https://catalog.apus.edu/undergraduate/academic-programs/associate/associate-science-public-health/#requirementstext",Associate Level,No,Higher Learning Commission,http://www.apus.edu/,11/18/2020
8,American Public University,Bachelor of Arts in Emergency and Disaster Management,"The Bachelor of Arts in Emergency and Disaster Management offers a practical education designed to prepare you for a full spectrum of careers in emergency management and public safety. It introduces you to the all-hazards approach and provides an in-depth understanding of risk assessment, hazard identification, prevention and management techniques, the multiple phases of emergency and disaster management, and counterterrorism. It also covers the prevention, management, mitigation, and recovery from man-made and natural disasters. From the smallest incident to the largest catastrophe, our emergency and disaster management program stresses the fact that all disasters are local, which is a foundational emergency management concept. Many courses within the program offer laboratory simulations that build upon one another across the curriculum to reflect events and scenarios that you might encounter in the real world of emergency management. The simulations will provide you with an opportunity to become familiar with a true-to-life disaster scenario, working with tools used in the field.

This program is taught by highly credentialed and experienced instructors, many of whom are board-certified emergency managers (CEM) or hold key positions in government agencies or national safety and security organizations. This program is accredited by the International Fire Service Accreditation Congress.



Additional Information: https://catalog.apus.edu/undergraduate/academic-programs/bachelors/bachelor-arts-emergency-disaster-management/#text",Bachelor Degree,No,Higher Learning Commission,http://www.apus.edu/,5/5/2021
9,American Public University,Bachelor of Arts in Homeland Security (Online),"The Bachelor of Arts degree in Homeland Security offers you a comprehensive education in the basics of terrorism, counterterrorism, hazard management, intelligence, and other components of national security. Members of the homeland security enterprise – such as the Department of Homeland Security, state and local public safety entities, and large corporations – are aggressively searching for people who have the comprehensive educational training to be intellectual and strategic leaders in this field. Knowledgeable employees who can contribute new ideas, identify and critique unexamined assumptions of policy and strategy, and who have the ability to translate good intentions into effective action are in demand.

This online bachelor's degree is designed to meet this market need. Through this bachelor's program, you will receive a holistic liberal arts education that covers the range of domestic security efforts, helping to prepare you for advancement or new entry into the homeland security field. This degree program is taught by highly credentialed and experienced instructors, many who hold key positions in government agencies or public safety organizations.

Additional Information: https://catalog.apus.edu/undergraduate/academic-programs/bachelors/bachelor-arts-homeland-security/",Bachelor Degree,No,Higher Learning Commission,http://www.apus.edu/,12/7/2020
